id,round,title,texts,areaScope,latitude,longitude,versionsCount,state,total_comments_count,selected,link_plans,num_link_proposals,adj_budget,budgetamount,district
1,2,Laajasalon talviuintipaikka,"Laajasaloon uusi julkinen, avoin ja turvallinen laiturillinen ja pukuhuoneilla varustettu talviuintipaikka, koska saarella ei ole toimivaa laiturillista uintipaikkaa talviuintiajalle 1.9.-30.4. Laajasalosta käsin lähimmät talviuintipaikat ovat H.niemenrannassa ja Marjaniemessä. Lajin suosiosta johtuen näistä lähempi Tuorinniemi ei ota uusia jäseniä. Marjaniemen uintipaikalle taas on pitkä matka ja käytännössä tarvitaan oma kulkuneuvo. Laajasalo on saari, jossa on riittävästi väestöpohjaa talviuintipaikan edellytyksiin. Nyt saarelta mennään mantereelle uimaan. Uintipaikka voi olla nykyisen uimarannan kohdalla Yliskylässä, Hevossalmessa, Tullisaaressa, Kruunuvuorenrannassa tai Jollaksessa, mutta paikkaan tarvitaan turvallinen laituri rappuineen, tekniikka pitämään uinnin mahdollisena myös jäiden aikaan ja lukitut pukuhuoneet uimareiden käyttöön eli Helsingin kaupungin ylläpitämä talviuintipaikka, jossa pukuhuoneiden käytön organisoimisesta vastaa muiden kaupungin uintipaikkojen tapaan ry",Kaakkoinen,60.175373,25.05398,95.0,accepted,33.0,Not selected,786.0,7.0,21428.571428571428,150000.0,Laajasalo
1,2,Laajasalon talviuintipaikka,"Laajasaloon uusi julkinen, avoin ja turvallinen laiturillinen ja pukuhuoneilla varustettu talviuintipaikka, koska saarella ei ole toimivaa laiturillista uintipaikkaa talviuintiajalle 1.9.-30.4. Laajasalosta käsin lähimmät talviuintipaikat ovat H.niemenrannassa ja Marjaniemessä. Lajin suosiosta johtuen näistä lähempi Tuorinniemi ei ota uusia jäseniä. Marjaniemen uintipaikalle taas on pitkä matka ja käytännössä tarvitaan oma kulkuneuvo. Laajasalo on saari, jossa on riittävästi väestöpohjaa talviuintipaikan edellytyksiin. Nyt saarelta mennään mantereelle uimaan. Uintipaikka voi olla nykyisen uimarannan kohdalla Yliskylässä, Hevossalmessa, Tullisaaressa, Kruunuvuorenrannassa tai Jollaksessa, mutta paikkaan tarvitaan turvallinen laituri rappuineen, tekniikka pitämään uinnin mahdollisena myös jäiden aikaan ja lukitut pukuhuoneet uimareiden käyttöön eli Helsingin kaupungin ylläpitämä talviuintipaikka, jossa pukuhuoneiden käytön organisoimisesta vastaa muiden kaupungin uintipaikkojen tapaan ry",Kaakkoinen,60.175373,25.05398,95.0,accepted,33.0,Selected,624.0,3.0,33333.333333333336,100000.0,Laajasalo
100,1,Laajennettaan toimintaa monikulttuuristen perheiden lapsille,"Lisää koulutuksia ja tapahtumia monikulttuurisille perheille, jotta lapsille annetaan mahdollisuus tutustua omiin juuriin, kieleen ja kulttuuriin, esimerkiksi kielenopetus kouluissa, monikulttuurileirit ja -tapahtumat, ""monikulttuurikarnevaalit"".",Helsingin yhteinen,,,8.0,accepted,1.0,Not selected,160.0,4.0,9882.5,39530.0,location_not_specified
100,2,Oleskelukatoksia Roihuvuoren näköalapaikoille,Kaupunki on rakentanut Roihuvuoren Japanilaistyyliseen puutarhaan viihtyisän katoksen (kuvassa). Roihuvuoressa on vielä ainakin kaksi vajaakäytössä olevaa näköalapaikkaa joihin suojaisa oleskelukatos sopisi erinomaisesti: vesitornin mäki komeine maisemineen sekä Strömsin merellinen venesatama. Tornimäen katos tarjoaisi picnic-ympäristön. Strömsin katoksen voisi varustaa lisäksi siten että se toimisi myös esiintymislavana ja siirreltävän kioskin terassina.,Kaakkoinen,60.196968973931,25.0544929504395,4.0,rejected,0.0,Not selected,,,,,Herttoniemi
1000,1,"Puistot kuntoon, Vallilan varikko asukkaille","Ehdotuksemme on kaksiosainen niin kohteiden kuin aikajanankin suhteen. 
Ensimmäisessä vaiheessa  - eli heti - alueen puistot pitää päivittää vastaamaan asukkaiden nykyisiä tarpeita. Alueen lapsimäärä on roihahtanut kasvuun, mutta puistot möllöttävät tyhjinä. Ehdotamme puistojen käytettävyyden parantamista ja monipuolistamista. Puistokalusteiden lisäksi rinnakkain mahtuvat olemaan hiekkalaatikot, kiipeilytelineet ja aikuisten kuntoilulaitteet.
Toinen vaihe koskee Vallilan varikkoa. Sen on kerrottu vapautuvan 2024. Taustaksi se, että ikärakenteeltaan voimakkaasti muuttuvalla kulmakunnalla ei ole asukastiloja, ei harrastus- eikä kokoontumistarpeeseen. Ehdotamme, että järjestetään asukastilaisuus ja tutustumismahdollisuus varikkoon. Samalla asukastilaisuudessa ideoidaan yhdessä, miten varikko edistäisi ja tukisi eri-ikäisten mahdollisuuksia ja hyvinvointia, mihin kaikkeen upea ja esim. sisäpihoiltaan turvallinen alue taipuisi. (Olli Salin, Kaija Jäppinen)",Keskinen,60.19666,24.96547,11.0,accepted,6.0,Not selected,193.0,5.0,22000.0,110000.0,Vallila
1000,2,Siltavuorenrannan roskikset,"Hei! Koiraa parikymmentä vuotta Krunassa ulkoiluttaneena olen ihmetellyt ja harmitellut Siltavuorenrannan roska-astiatilannetta. 
Lähdettäessä Tervasaaren liittymästä Pitkällesillalle päin löytyy yksi ”Molokki”. Varsinkin Hakaniemen sillan ja Pitkänsillan välinen kävelytie on suosittu koiralenkkireitti ja pätkälle on asennettu jopa useita puistonpenkkejä. Roskiksia ei vaan ole missään. Koiraihmiset vielä jaksavat kerätä ja kuljettaa jätteensä kuka minnekin (kiitos heille siitä), mutta muuten penkinkäyttäjät jättävät roskansa penkkien viereen tuulen ja lintujen riepoteltavaksi. 
Kun ottaa huomioon, että vesiraja on vain runsaan metrin päässä penkeistä, ei tarvitse ihmetellä, miksi meri ja ranta on täynnä roskaa...
Olen kuullut kaupunkihuhuja, joiden mukaan Kruununhakaan ei panosteta osana ”kaupunginosien tasavertaistamisstrategiaa”. 
En haluaisi tähän uskoa, mutta katsellessani vastarannan roskisrivistöjä Hakiksen puolella, ei voi olla ajattelematta, että josko kuitenkin näin...",Eteläinen,60.176677208377065,24.953623465315506,17.0,accepted,7.0,Not selected,,,,,Vironniemi
1001,1,Meidän Oma Kulttuurikeskus,"Taiteilijoiden ja asukkaiden ääni ei kuulu kulttuurikeskuksen toiminnassa. Monet ammattilaisryhmät ovat ilman vakituista esiintymispaikkaa. Kulttuuritalojen henkilökunnan vuorovaikutus taiteilijoihin on satunnaista, eikä ohjelmisto ole kulttuurisesti monimuotoista.  Ei-kävijöitä on paljon, ja eriarvoistuminen lisääntyy.
Taiteilijat ja asukkaat osallistetaan kulttuurikeskusten ohjelmiston suunnitteluun. Vaihtuva kuraattoriryhmä valitsee seuraavan vuoden ohjelman. Ryhmä on monitaiteinen ja -kulttuurinen, ja siinä on paikallisten asukkaiden edustajia. Ryhmä määrittelee taiteellisen linjan ja kuratoi ohjelman. Se työskentelee talojohtajan kanssa, ja on osa talon taiteellista ohjausryhmää. Henkilökunta tuottaa ohjelmiston. Mallia pilotoidaan 2020-2021, jonka jälkeen päätetään jatkosta. Malli kouluttaa henkilökuntia osallistavaan toimintaan.  
",Helsingin yhteinen,60.17116,24.93266,8.0,accepted,1.0,Not selected,,,,,Kampinmalmi
1001,2,Sitratorin viihtyvyys,"Sitratorin läheisyydessä sijaitsevassa yhteisön kohtaamispaikassa, D-asema Kannelmäessä järjestetyssä työpajassa äänestettiin jatkoon idea Sitratorin viihtyvyyden lisäämisestä. Monet kokivat, että tori on nykyisellään epäsiisti ja (iltaisin) turvaton.
Ehdotuksia viihtyvyyden ja turvallisuuden tunteen lisäämiseksi:
- Lisää penkkejä
Ikäihmiset ja muutkin viihtyvät torilla kahvitellen ja toisiaan tavaten, penkkejä on tällä hetkellä kohtalaisen vähän.
- Puita ja luontoa torille
Unelman tilalle voisi istuttaa puun tai perustaa ""Urbaanin puutarhan"", jossa voisi esim. toteuttaa kaupunkiviljelyä. Torilla aiemmin olleista kasvatuslaatikoista on monilla mukavia muistoja ja yhteisiä kokemuksia.
- Torille vapaata oleskelua tukevaa toimintaa ja infraa
Lapsille voisi olla jokin viihtymisen paikka, esim. kiipeiltävä taideteos/puu. Työpajoja, tapahtumia ja yleistä toritoimintaa (kahvila, kirpputori...) toivottiin torille sekä lisää  valaistusta (valotaideteos/yleinen valaistus).",Läntinen,60.238845,24.8762033,3.0,accepted,0.0,Not selected,761.0,3.0,28833.333333333332,86500.0,Kaarela
1002,2,Grillikatoksia merelliseen Laajasaloon asukkaiden käyttöön,"Laajasalon FB-ryhmissä jatkuvasti kysellään grillipaikkojen perään ja niitä toivotaan saarellemme. Edellisessä osbu-äänestyksessä suunnitelma ei kuitenkaan saanut tarpeeksi ääniä jotta se olisi päässyt toteutettavien joukkoon - on aika yrittää uudelleen.

Laajasalossa on mahtavat ulkoilualueet ja todella upea luonto meren ympäröimänä, mutta ei yhtään yleistä grillauspaikkaa. Saaren väkiluku on noussut ja nousee huimaa tahtia, ja kysyntä grillauspaikoille kasvaa koko ajan. Nyt tulevina vuosina saaremme tulee olemaan laajaa työmaata kun uusia raitiovaunulinjoja,  varikkoa ja bulevardia aletaan tekemään -  luonnon äärellä olemisen tärkeys vain korostuu. Ehdotan, että saarellemme hankitaan joitakin grillikatoksia & pöytä-tuoli ryhmineen asukkaiden käyttöön. Esim. Tullisaari, Hevossalmi, Yliskylä, Jollas alueille.",Kaakkoinen,60.1707455721938,25.0541196331315,53.0,accepted,6.0,Selected,747.0,2.0,60000.0,120000.0,Laajasalo
1003,1,Alakiventie turvalliseksi!,"Kaikki ehdotukset voi toteuttaa yksittäisinä tai kokonaisuutena. Mikä tärkeintä, että vihdoin tehtäisiin jotain Alakiventien käyttäjien turvallisuuden lisäämiseksi.
1. Alakiventielle pitää asentaa digitaaliset nopeusmittarit ja hymiöt kuvaamaan ajonopeutta

2.  Alakiventiellä Areena Centerin kohdalle, molemmin puolin pysäköinti ja pysähtymiskieltoalue! Linja-auto ja muun liikenteen turvaamiseksi, etteivät autot kouki jalkakäytävillä.

3.   Arena Centerin parkkipaikan jatkeeksi  harrastajien ”jättöpaikka” jossa autot voisivat turvallisesti jättää ja ottaa lapset kyytiin.

4.  Kaupungin suunnitteluun koko alueen liikenteen ja  pysäköinnin uudelleen arviointi ja pysäköinnin ohjaaminen myös Itäkeskuksen kautta toiselle parkkialueelle.

 ",Itäinen,60.22021,25.0782,9.0,rejected,1.0,Not selected,,,,,Myllypuro
