round,district,selected,Topic_0,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6
1,Vallila,False,0.17320894,0.0024724426,0.62904364,0.002472777,0.0024730035,0.07142638,0.118902825
2,Vironniemi,False,0.002702514,0.18173581,0.0027112903,0.002712213,0.8047311,0.0027033584,0.0027037924
1,Kampinmalmi,False,0.00325655,0.08055666,0.4447521,0.00326094,0.0032530418,0.41041237,0.05450836
2,Kaarela,False,0.0019374582,0.0019342257,0.001937499,0.16158055,0.27464545,0.3828532,0.1751116
2,Laajasalo,True,0.0023892457,0.9856673,0.002393649,0.0023885611,0.0023865951,0.0023884429,0.0023862012
1,Myllypuro,False,0.0032614393,0.0032594486,0.28170928,0.0032629308,0.7019783,0.0032571666,0.0032714219
2,Vironniemi,False,0.0021388936,0.002137227,0.9871609,0.0021356642,0.00213702,0.002146682,0.0021435916
1,Laajasalo,False,0.002389452,0.31232515,0.67573386,0.0023873874,0.0023872154,0.0023903067,0.0023866238
2,Oulunkylä,False,0.31602424,0.003333301,0.15815882,0.0033368496,0.28514606,0.003330161,0.2306705
1,Myllypuro,False,0.01598488,0.015972003,0.015895091,0.015906483,0.9044257,0.015892401,0.015923478
1,Mellunkylä,False,0.011923017,0.011916757,0.011916474,0.011964075,0.92843777,0.01191743,0.011924495
2,Malmi,False,0.0028707238,0.4211234,0.45778176,0.0028616532,0.109618485,0.0028734223,0.00287053
1,Mellunkylä,False,0.01432724,0.014328736,0.014321088,0.014311459,0.914074,0.0142954895,0.0143420175
2,Kallio,False,0.0044830116,0.12718026,0.6063685,0.11592662,0.0044866423,0.13706005,0.0044949544
1,Pukinmäki,False,0.0034226305,0.003421573,0.003420204,0.97948074,0.0034204763,0.0034164435,0.0034178619
1,Vironniemi,False,0.0057494515,0.5633473,0.22520314,0.005728036,0.18849425,0.0057384167,0.005739388
2,Vironniemi,False,0.16603814,0.18104634,0.5950951,0.0507616,0.002351524,0.0023573926,0.0023498829
1,,False,0.0079486035,0.007952721,0.007970466,0.007987945,0.007966969,0.31430614,0.6458671
2,Herttoniemi,False,0.005126639,0.0051305415,0.0051485472,0.9692236,0.005130649,0.0051194457,0.00512057
1,Vanhakaupunki,False,0.24963106,0.049926635,0.005316331,0.0053010876,0.00529978,0.67920303,0.005322055
2,Mellunkylä,False,0.0035052816,0.0034966606,0.0034946292,0.003496104,0.9789945,0.0035114023,0.003501395
1,Vanhakaupunki,False,0.16556087,0.011012255,0.011064502,0.011045506,0.5472267,0.24301806,0.011072053
2,Suutarila,False,0.03795348,0.0027066257,0.0027031268,0.0027067696,0.20407242,0.0027095675,0.747148
1,Vallila,False,0.004946229,0.004933651,0.004938089,0.55541813,0.004942865,0.4198791,0.0049419077
2,Mellunkylä,False,0.37862104,0.0026545671,0.0026606482,0.0026521897,0.0026588277,0.0026559108,0.6080968
1,,False,0.008941613,0.18301663,0.7722185,0.008967255,0.008945466,0.008959084,0.008951461
2,Vironniemi,False,0.009550838,0.9426354,0.009588907,0.009543999,0.009542285,0.009584065,0.009554472
1,Latokartano,False,0.49681863,0.0071689826,0.007184742,0.007161244,0.34191805,0.13258268,0.0071657007
2,,False,0.69454616,0.014332716,0.2338427,0.014297957,0.0143393,0.014317784,0.014323365
1,Kampinmalmi,False,0.002175853,0.7335301,0.002176482,0.0021680633,0.0021710938,0.08544096,0.17233741
2,Vironniemi,False,0.0028648751,0.0028685408,0.485097,0.0028644837,0.0028646742,0.500573,0.0028674677
1,Kampinmalmi,False,0.010256745,0.010235144,0.010230241,0.27338794,0.6754353,0.010229034,0.010225586
2,Vironniemi,False,0.0034917637,0.14719921,0.638715,0.003493923,0.00349054,0.20011409,0.003495481
1,Kampinmalmi,False,0.104372025,0.0027041808,0.54468167,0.0027027454,0.002702042,0.3401334,0.0027039615
2,Pitäjänmäki,False,0.00243229,0.0024292767,0.4334956,0.002426509,0.0024308774,0.0024323035,0.5543532
1,Haaga,False,0.0023190202,0.0023112462,0.0023165517,0.002314514,0.3264614,0.6619643,0.0023130071
1,Haaga,False,0.0024809546,0.002468198,0.37074548,0.002467991,0.0024692777,0.26648116,0.35288695
2,Pitäjänmäki,False,0.65728897,0.003672039,0.003680894,0.003671905,0.003673238,0.003689902,0.324323
1,Kampinmalmi,False,0.0029262572,0.0029205543,0.18508568,0.0029259955,0.0029234507,0.0029344668,0.8002836
2,Kaarela,False,0.0040879045,0.0040903487,0.0040919213,0.0040905545,0.9754572,0.004086937,0.004095172
1,Haaga,False,0.24758849,0.035691004,0.0030544081,0.003049832,0.4420549,0.2655094,0.0030519848
2,Länsi-Pakila,False,0.035751168,0.035753757,0.51829547,0.035748392,0.035784233,0.035873238,0.3027937
1,Kampinmalmi,False,0.0039816163,0.003992403,0.31533572,0.0039879065,0.003992108,0.14757144,0.5211388
2,Vironniemi,False,0.0084344875,0.28202423,0.008427656,0.0084174555,0.008438775,0.35441747,0.32983997
1,Vartiokylä,False,0.055198666,0.006218219,0.0062530222,0.006318067,0.0062192506,0.9135679,0.0062249303
2,Latokartano,False,0.06862216,0.24733353,0.0045017335,0.11800959,0.55254143,0.004511013,0.0044805454
1,Pitäjänmäki,False,0.020449523,0.020506565,0.020508368,0.020420825,0.020425195,0.5236726,0.3740169
2,Taka-Töölö,False,0.0021122466,0.0021069518,0.00211036,0.0021055522,0.0021095145,0.0021062025,0.98734915
1,Puistola,False,0.0029213387,0.0029266113,0.4686416,0.002931417,0.0029198306,0.29153407,0.22812511
2,Vironniemi,False,0.0024248196,0.002425095,0.5588397,0.0024260539,0.0024265032,0.42903203,0.0024258397
1,Kallio,False,0.028598322,0.028646052,0.028592035,0.2287427,0.6281117,0.028592626,0.028716503
2,Vallila,True,0.5084701,0.00247608,0.4791534,0.0024793535,0.0024723674,0.0024725664,0.0024761017
1,Pitäjänmäki,True,0.0031825313,0.05915173,0.0031963012,0.07035745,0.30480462,0.5561232,0.0031841805
2,Vuosaari,False,0.44699278,0.017869206,0.017902516,0.018024415,0.01792587,0.01796595,0.46331924
1,,False,0.013014733,0.013013967,0.013017766,0.5295467,0.013059514,0.405311,0.013036396
2,Vironniemi,False,0.0102365455,0.010227053,0.45452872,0.010208827,0.0102262795,0.49434873,0.01022385
1,,False,0.0036823482,0.0036783293,0.7444372,0.18497883,0.00367877,0.055872127,0.0036723549
2,Vallila,False,0.003987411,0.0039893603,0.003983655,0.003988939,0.97608995,0.0039818273,0.0039787986
1,Pasila,False,0.20732197,0.023885632,0.24933322,0.023826832,0.023835683,0.44786873,0.023927927
2,,False,0.011040252,0.011008083,0.011023776,0.011004698,0.3579298,0.25483486,0.34315854
1,,False,0.072557636,0.00597476,0.16555987,0.29336056,0.0059731845,0.23455541,0.2220186
