Area,Population,Demographic dependency ratio,Proportion of youth (0-14),Proportion of elderly (65+),Proportion of working age (15-64),Proportion of foreign language,Proportion of finnish and sami,Proportion of swedish,Proportion of males,Proportion of females,Proportion of higher education,Proportion of basic education,Proportion of upper secondary education,Proportion of lower tertiary education,Proportion of one person household,Proportion of four or more persons household,Unemployment rate,Proportion of creative class in workforce,Proportion of non creative class in workforce,Income subject to state taxation euro average,Gini coefficient disposable income,Proportion of buildings constructed before 1980 in total housing stock,Proportion of private rental apartments,Proportion of subsidised rental apartments,Population density,Service points for dog areas per 1000 persons,Service points for parks and green areas per 1000 persons,Service points for playgrounds per 1000 persons,Service points for cultural activities per 1000 persons,Service points for circular economy per 1000 persons,Service points for daycare and pre primary education per 1000 persons,Service points for child and family services per 1000 persons,Service points for social welfare services per 1000 persons
Alppiharju,11711.380952380952,0.2060265487318002,0.04541452807152671,0.12541429726360806,0.8291711746648651,0.10520116908508026,0.8525711138500259,0.04222771706489381,0.48621878155391557,0.5137812184460844,0.22636349634699884,0.16215270691493106,0.36694748187593207,0.24453631486213784,0.7465969440796136,0.015258592769256866,11.4,0.3764525874088946,0.6235474125911054,44036.95238095238,28.571428571428573,0.9532647836901575,0.5211285989686991,0.016114005553714006,0.012860964713806908,0.17081426441159117,0.08540713220579553,0.25622139661738674,0.9394784542637515,0.0,1.110292718675343,0.0,1.024885586469547
Haaga,27487.619047619046,0.45136212029132755,0.12477538390944783,0.18620820647253042,0.6890164096180217,0.14853997689654586,0.7924127111652453,0.059047311938208856,0.4664982884267824,0.5335017115732176,0.24768237791744208,0.20186427821504355,0.29737445113840244,0.2530788927291118,0.6051059771654006,0.0741798064009829,9.680952380952382,0.3313233692651927,0.6686766307348073,54170.52380952381,28.61904761904762,0.7823976496980103,0.3711689068477861,0.14630127293950834,0.005180141219153304,0.14552810648706951,0.14552810648706951,0.40020229283944114,0.43658431946120857,0.5093483727047433,2.2556856505495775,0.36382026621767377,1.7463372778448343
Herttoniemi,30450.285714285714,0.4858331880786681,0.15711631870066206,0.16985930826224513,0.6730243730370928,0.17575469197920807,0.7876785650848737,0.03656674293591819,0.46879805924431206,0.5312019407556879,0.22939999129007102,0.2343127761132498,0.3184628639183246,0.21782436867835442,0.5205035544379479,0.09152916492684689,12.214285714285714,0.17875980208828923,0.8212401979117107,60939.57142857143,32.61904761904762,0.49625103612927635,0.31123011204370143,0.26494903132848907,0.004043667442386462,0.16424234913938043,0.16424234913938043,0.6241209267296459,0.985454094836283,0.6569693965575221,2.332241357779203,0.13139387931150437,0.7883632758690263
Itä-Pakila,3655.190476190476,0.6444389340012733,0.2195493753117812,0.17233944966203354,0.6081111750261852,0.05989245788860608,0.9062419270950374,0.033865615016356446,0.500679153540245,0.499320846459755,0.2702802848774042,0.18848624229093142,0.26925582590233094,0.27197764692933335,0.22713464825930302,0.23993681671128253,6.238095238095238,0.302050359002668,0.697949640997332,106388.52380952382,28.238095238095237,0.5233365063943561,0.09132912768896298,0.03231570009730776,0.0010707660298035953,0.2735911264024539,0.2735911264024539,1.3679556320122697,0.5471822528049078,0.0,3.009502390426993,0.0,0.5471822528049078
Jakomäki,5466.523809523809,0.539146122235953,0.1708047795111101,0.1794826404944526,0.6497125799944372,0.3987372081630344,0.5893858227671096,0.011876969069855862,0.4873368869952481,0.5126631130047519,0.053093558347501416,0.4236256316023709,0.4104160163580679,0.11286479369205958,0.49357294240990307,0.11273583929869761,20.61904761904762,0.1879994536073464,0.8120005463926535,39492.19047619047,21.61904761904762,0.7152695611706986,0.1134466479021971,0.5862316777833689,0.002804247792096619,0.1830379016935902,0.1830379016935902,0.732151606774361,0.9151895084679512,1.647341115242312,1.8303790169359024,0.36607580338718043,2.196454820323083
Kaarela,30801.47619047619,0.5122354374603888,0.16868167675400889,0.16995269890730483,0.6613656243386862,0.25926703496045816,0.7092904057687258,0.031442559270815816,0.4838267027499625,0.5161732972500376,0.1577061752810112,0.2757548820837873,0.34100186901943746,0.22553707361576386,0.4607566962753686,0.12041139942111408,12.523809523809524,0.18910849443734104,0.8108915055626589,55077.380952380954,27.047619047619047,0.43967373865873477,0.23714453979073935,0.27037954102638645,0.003300493163321338,0.1299424623635567,0.09745684677266751,0.552255465045116,1.1694821612720103,0.2598849247271134,1.5917951639535697,0.03248561559088911,0.2923705403180026
Kallio,33876.52380952381,0.26316361345996164,0.07608836788446478,0.13224446252946584,0.7916671695860693,0.12025468878704226,0.8374987263196638,0.04224658489329378,0.48176297004096513,0.5182370299590349,0.2572271146004428,0.16160573871644207,0.33865204084588396,0.24251510583723113,0.6366260845871712,0.03780260251822502,9.795238095238094,0.3001505149036247,0.6998494850963753,58688.71428571428,33.95238095238095,0.7020719273470475,0.476318995503158,0.049450899456707616,0.012733951661020367,0.2663718312082321,0.08879061040274402,0.20717809093973602,2.278959000337097,0.17758122080548805,1.4206497664439046,0.7103248832219523,3.018880753693298
Kampinmalmi,43997.76190476191,0.37906049543004283,0.12676559947065613,0.14808508459949066,0.7251493159298531,0.1477567194621282,0.7637455124241234,0.08849776811374838,0.4761113173193159,0.5238886826806841,0.3135291493221217,0.1587007718790965,0.28316812309776324,0.24460195570101842,0.5034004810089391,0.08064791336050117,7.642857142857143,0.46171773386833576,0.5382822661316643,86671.04761904762,42.142857142857146,0.599459315781594,0.4030892922678132,0.11995909506961823,0.010115794237672714,0.15924269398534868,0.04549791256724244,0.38673225682156104,2.3886404097802307,0.2274895628362124,1.6606738087043507,0.2047406065525911,0.6597197322250161
Kulosaari,4089.714285714286,0.602778146918598,0.189044257765848,0.18702992649351874,0.6239258157406332,0.10258588145706213,0.7364207402086473,0.16099337833429045,0.457339895247051,0.542660104752949,0.38102305463419245,0.16090882264430725,0.22428198528810872,0.2337861374333914,0.42146687577190634,0.16324612018802723,7.119047619047619,0.4948856296701825,0.5051143703298175,125017.71428571429,47.19047619047619,0.8550120411411279,0.278500592911829,0.03309185093128415,0.002014960568415338,0.48912089678226744,0.0,0.9782417935645349,3.179285829084739,0.0,1.7119231387379361,0.0,0.24456044839113372
Laajasalo,22252.0,0.5974656611346612,0.18645217453857466,0.18754825428340363,0.6259995711780216,0.13747815230308572,0.8068779625003204,0.05564388519659373,0.46718349794789704,0.532816502052103,0.235545630264435,0.2126004693209164,0.3073223669169153,0.24453153349773324,0.43325824260998225,0.1324072439893566,10.109523809523811,0.21103529316762146,0.7889647068323784,72990.38095238095,32.333333333333336,0.458134837913821,0.1658241906073396,0.23980689341274306,0.0012636335222006476,0.1801513165098386,0.09007565825491927,0.36030263301967724,0.8106809242942739,0.3152648038922176,2.3870049437553624,0.0,0.6305296077844352
